@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data
'internal exception has been handled before ',negative
'plain response found ',negative
'spr ',negative
'protected methods used the support subpackage ',negative
'remembers count but need get new reference nop ',negative
'important here assume that the frames are ordered the stackmaptable attribute although this not guaranteed the attribute format this allows incremental extraction the labels corresponding this attribute see the comment above for the stackmaptable attribute ',negative
'instance methods ',negative
'servletresponse httpservletresponse ',negative
'create deep copy resolving any references for values ',negative
'constructors ',negative
'supply the implicit upper bound none are specified ',negative
'just making sure somebody doesnt try make socketutils abstract since that would breaking change due the intentional public constructor ',negative
'asm specific stack map frame types used link ',negative
'name could variable type ',negative
'handle entitymanagerproxy interface ',negative
'extract individual config locations ',negative
'ignore see spr ',negative
'this cglib proxy can proxy the target class ',negative
'resolve merged bean definition locally ',negative
'relational operators ',negative
'equality amongst synthesized annotations ',negative
'overridden attributes ',negative
'invocation invocations ',negative
'exception handler register ',negative
'simpuserregistry methods ',negative
'message ',negative
'the reflection one will used for other properties ',negative
'invoke method current entitymanager ',negative
'not enough data match this path element ',negative
'annotation not present the classpath being ignored the jvms class loading ignore here well ',negative
'were ahead string lets see can aggregate the output lest time out ',negative
'calling foostringint with stringinteger requires boxing conversion argument one ',negative
'autowiring name type ',negative
'copy the subarray ',negative
'setup the types that want match against ',negative
'suite tests root requests for default servlets srv websphere tomcat and other containers see ',negative
'the exception will ignored the class loader anyway ',negative
'',negative
'header not present ',negative
'plain value convert collection with single element ',negative
'clearly topic lets set the pubsubdomain flag accordingly ',negative
'fall back getrelative ',negative
'errors instance even errors ',negative
'trim the text value avoid unwanted whitespace caused typical xml formatting ',negative
'explicitly optimize for transactionlocal entitymanager aligned with native behavior ',negative
'unhandled exception logged error level quartz ',negative
'missing method ',negative
'value yet try get namevaluexyz parameter ',negative
'other property specified consider bean name static field expression ',negative
'but always false ',negative
'',negative
'parameterize ',negative
'publish event via parent context well ',negative
'implementation ',negative
'determine each loader can load context from the mergedconfig can let otherwise keep iterating ',negative
'will check inherited fields are copied ',negative
'methodscount and attributescount use bytes each and each interface uses bytes too ',negative
'additional check for defining the package not defined yet ',negative
'fields ',negative
'instead testing for equality just assert that the value was incremented least once since this test class may serve parent class other tests suite etc ',negative
'process individual bean methods ',negative
'using volatile invariant allows initialize the fastclass and method index pairs atomically doublechecked locking safe with volatile java before this code could allow fastclassinfo instantiated more than once which appears benign ',negative
'will return true were not proxying interfaces ',negative
'two reasons this can occur the method invoked actually threw real exception the method invoked was not passed the arguments expected and has become stale ',negative
'such bean ',negative
'standard collection interfaces ',negative
'baseline with standard write method ',negative
'this resolver not supposed handle the given view return null pass the next resolver the chain ',negative
'check cost repeated construction beans with method overrides ',negative
'dataobject ',negative
'dont care about the params ',negative
'global methods first ',negative
'removes nop ',negative
'absolutely needs threadbound executor initialize ',negative
'spr ',negative
'try with nonexisting value ',negative
'spr ',negative
'the username empty well simply let the target datasource use its default credentials ',negative
'rely default pointcut ',negative
'unknown number subtypes best guess double comparison ',negative
'invoke factory processors registered with the context instance ',negative
'spr ',negative
'spr ',negative
'its prototype create new instance ',negative
'write typeindex and reserve space for ',negative
'logjtoslfj bridge well rather with the slfj spi however still prefer logj over the plain slfj api since the latter does not have location awareness support ',negative
'override global attribute with local attribute ',negative
'match test returned maybe there are any subtype sensitive variables involved the test this target atthis attarget atannotation then say this not match spring there will never different ',negative
'needs string conversion ',negative
'',negative
'template methods implemented subclasses ',negative
'passing integer string call string string exact match ',negative
'else just tostring ',negative
'first set the pagecontext and the bean ',negative
'remove this unreachable basic block from the exception handler ranges ',negative
'shortcut directly present the element with merging needed ',negative
'must copy until this resolved ',negative
'suppression required due bug javac java presence default method serializable interface ',negative
'demand may have arrived since readandpublish returned ',negative
'fancy variant with dependency registration ',negative
'important not pass full property name here property editors ',negative
'static helper methods compute hash codes ',negative
'clocks forward hour doesnt exist cet for this localdatetime ',negative
'make the new current basic block ',negative
'not allowed change the transaction settings the jdbc connection ',negative
'there must separator ahead this thing currentpe should ',negative
'generic information ',negative
'this one only thrown the jmx not the jdk jmx code ',negative
'spr ',negative
'bind request parameters onto target object ',negative
'let the bean definition get remerged now that were actually creating the bean just case some its metadata changed the meantime ',negative
'only bytype and byname supported but maybe other default inherited ',negative
'register the jpa entitymanagers jdbc connection for the datasource set ',negative
'create disconnected ',negative
'default web binding initializer behavior test ',negative
'use the sessionfactorys datasource for exposing transactions jdbc code ',negative
'the path pattern using characters particular path element ',negative
'physically close durable subscribers time session close call ',negative
'array required apply appropriate conversion elements ',negative
'rowset methods for extracting data values ',negative
'postgres getobject returns pgobject but need string ',negative
'third step replace the asm specific instructions any ',negative
'conversion required ',negative
'parsechecknew int min ',negative
'check correct session passed into ',negative
'obtain entitymanager reference from jndi ',negative
'register sessions and messageconsumers ',negative
'standard bean validation api ',negative
'case elementvalue with annotationvalue field see ',negative
'this should work serializableperson equal ',negative
'this stream doesnt have any data ',negative
'use holders reference count track access ',negative
'spr ',negative
'avoid further encoding the case strictencodingtrue ',negative
'effectively all remaining messages failed ',negative
'this wont work resolver known for the payload ',negative
'note this class must not implement serializable because serves base class for aspectj aspects which are not allowed implement serializable ',negative
'transactional ',negative
'consider fallback matches the first pass failed find anything ',negative
'parse the elementvaluepairs array ',negative
'actually create the inner bean instance now ',negative
'nothing assert ',negative
'fast default check ',negative
'check two perinstance mixins were distinct ',negative
'working getdatasource method cannot perform datasource transaction check ',negative
'get late possible minimize the time own the target case comes from pool ',negative
'messagesource registered and found for autowiring bean ',negative
'expose request the current thread for spel expressions ',negative
'need transaction for this method ',negative
'store result local variable order appease the eclipse compiler with regard inferred generics ',negative
'type primitive array type ',negative
'not annotated metaannotated with component ',negative
'',negative
'srctype and dsttype are reference types with the same array dimension mergesrctype dsttype dimsrctype common super class srctype and dsttype ',negative
'fall back full creation the factorybean instance ',negative
'specific exception match found ',negative
'load the raw bytes ',negative
'isnt null otherwise ',negative
'this point know wasnt user problem worth retry ',negative
'uncompilable argument conversion occurring ',negative
'the list full literals then will the type unmodifiableclass rather than hashmap similar ',negative
'delegation methods ',negative
'spouse touchy age should not copied ',negative
'one these set should not inherit anything ',negative
'only when the right hand operand direct type reference ',negative
'demonstrates cant inject that event because the generic type lost ',negative
'catchall ',negative
'spaces ',negative
'jpa handle unwrap method could proxy match ',negative
'spr ',negative
'calling foostringinteger with stringinteger exact match ',negative
'send ',negative
'read the accessflags nameindex and descriptorindex fields ',negative
'header bytes and bytes for ',negative
'fallback springs own sql state translation ',negative
'fill location information possible ',negative
'call from interfacebased proxy handle allowing for efficient check ',negative
'activemq ',negative
'consume relational operator token ',negative
'nothing ',negative
'check that the perclause pointcut valid ',negative
'result yet store handler for processing once comes ',negative
'methods designed for test introspection ',negative
'cannot access system classloader well maybe the caller can live with null ',negative
'simp header names ',negative
'message ',negative
'when ',negative
'wont throw exception ',negative
'set jpa validation mode ',negative
'spr ',negative
'handle gettargetsession method return underlying session ',negative
'through the accessors that may able resolve they are cacheable accessor then get the accessor and use they are not cacheable but report they can read the property ',negative
'',negative
'spr ',negative
'element stack containing the caught exception type ',negative
'got hit call ',negative
'determine resourceloader use ',negative
'rare case listener thread failed after container shutdown log debug level avoid spamming the shutdown log ',negative
'expect methods ',negative
'encountered new context hierarchy level ',negative
'eat the body ',negative
'custom methods ',negative
'actually invoke the message listener ',negative
'process superclass any ',negative
'this should match because jsp ',negative
'apply cache settings any ',negative
'then proceed with actually loading the bean definitions ',negative
'inner bean definition must receive same scope containing bean ',negative
'only use factory method metadata the return type actually expressive enough for our dependency otherwise the returned instance type may have matched instead case singleton instance having been registered with the container already ',negative
'ensure the same works for impls too ',negative
'spr ',negative
'context path ',negative
'deal with wildcard bounds ',negative
'spr ',negative
'target bean name specified use filter name ',negative
'should never happen ',negative
'intellij idea wont accept int assignment here ',negative
'then try again with different class loader the target ',negative
'the offset the enclosingmethod attribute ',negative
'its factorybean want look what creates not the factory class ',negative
'',negative
'preserve the existing bean definition ',negative
'session should not present ',negative
'and wont think its equal nopinterceptor ',negative
'look for query arguments primarily jpa addnamedquerystring query ',negative
'switch inactive ',negative
'reset http expires header present ',negative
'special handling boolean property ',negative
'non existent indexer index via string ',negative
'float not wide type ',negative
'regular case find handler method reflectively ',negative
'expected exception ',negative
'note when new entry added considered the mru entry and inserted the tail ',negative
'doesnt match method from throwable ',negative
'spr ',negative
'srctype the null type mergesrctype dsttype dsttype there change ',negative
'attempt treat the index value number ',negative
'lazily prepare service and stub necessary ',negative
'not changed ',negative
'using nullsafehashcode for proper array hashcode handling ',negative
'method with changing parameter types change reference type ',negative
'convenience methods for working with string arrays ',negative
'powerexpr unaryexpression power unaryexpression inc dec ',negative
'method with changing target ',negative
'spr ',negative
'assume annotations source ',negative
'visit the field declaration ',negative
'perform fresh lookup for jta handles ',negative
'for transaction suspension the jta transactionmanager necessary too ',negative
'always let through dont want fall back the defaultobject this case ',negative
'todo could cache singleton for minor performance optimization ',negative
'run the actual test several times order increase the chance threads stepping each others toes overwriting the same mutable state the testcontext ',negative
'fetch jta transactionmanager from jndi necessary ',negative
'the following declaration simply verifies that autowired the constructor takes precedence ',negative
'call again should cached ',negative
'register disposablebean implementation that performs all destruction work for the given bean disposablebean interface custom destroy method ',negative
'sanity check singleton nonstatic should work ',negative
'length bits hash ',negative
'see testbean ',negative
'assumes overloading ',negative
'should return the age before the third aopinduced birthday ',negative
'test matching with ',negative
'datapublishert classt ',negative
'alternative methods relying find the request ',negative
'only xsd moved context namespace ',negative
'determine rmi registry use ',negative
'assert that all levels have been detected ',negative
'modeproxy ',negative
'now verify failure bad ',negative
'check reinitialization ',negative
'lets see the remote invocation object works ',negative
'temporarily return nonpostprocessed object not storing yet ',negative
'eagerly initialize the default needed ',negative
'spr ',negative
'handlenomatch would have been invoked already ',negative
'spr ',negative
'process default methods interfaces ',negative
'use the cached accessor ',negative
'ignore does ',negative
'this should theoretically never happen ',negative
'this forces the method executed again ',negative
'all tests are the parent class ',negative
'cache region not defined should create one with default properties ',negative
'register the pointcut ',negative
'register name and attribute ',negative
'read the field numvalues field for arrayvalue ',negative
'spr ',negative
'redeclared for visibility within simpstomp ',negative
'note the ordering the initializers intentionally two one ',negative
'see ',negative
'must avoid fetching target connection for hashcode and must return the same hash code even when the target connection has been fetched use hashcode connection proxy ',negative
'the scale apply case numeric decimal type any ',negative
'handlerrangeblock jsr block add handlerblock after the first two outgoing edges preserve the hypothesis about jsr block successors order see link visitjumpinsn ',negative
'spr ',negative
'the ajtypesystem goes great lengths provide uniform appearance between codestyle and annotationstyle aspects therefore there clean way tell them apart here rely implementation detail the aspectj compiler ',negative
'within path aabb there must least one character match the wildcard ',negative
'order retain back compatibility only register datecalendar types when user defined formatter specified see spr ',negative
'nonsingleton static ',negative
'has nested transaction ',negative
'look for direct name match ',negative
'should repropagate updated attribute ',negative
'inner bean generate identity hashcode suffix ',negative
'the startpc index signatureindex fields each entry the ',negative
'getclassloader returning null indicates the bootstrap classloader ',negative
'',negative
'use locale that doesnt result the generation html entities ',negative
'need create method invocation ',negative
'children the type the constructor dont want include that argument processing ',negative
'spr ',negative
'consume ',negative
'removed ',negative
'similar declaration exists ',negative
'compute the absolute input stack size and maximum stack size this block ',negative
'template methods subclasses ',negative
'parameter annotation ',negative
'invoke the method dont have cache hit ',negative
'jacksondatatypejoda not available ',negative
'add its successors the list blocks process note that link pushsuccessors does not push basic blocks which are already list here this means either the list blocks process the list already processed blocks this second list ',negative
'set default singleton scope not configured before ',negative
'javaneturi javalangobject javaawtimage javautiluuid ',negative
'null ',negative
'constvalueindex constantutf ',negative
'close the http connection applicable ',negative
'the case nonstring key however can better alert the user that under these very special conditions nonobject key securitymanager that disallows access system properties they ',negative
'check list ',negative
'srctype and dsttype are array types equal dimension but different element types mergesrctype dsttype dimsrctype javalangobject ',negative
'non existent field property ',negative
'delay send since server processes concurrently ideally order should preserved receipts supported simple broker ',negative
'initializingbean ',negative
'spr ',negative
'httpservletresponse properties ',negative
'check the class majorversion this field after the magic and minorversion fields which ',negative
'spr ',negative
'stack leftrightright stack leftright ',negative
'explicitly configured warn logger logexception method ',negative
'locale beanfactory ',negative
'original handler must have been invoked well ',negative
'hierarchy traversal ',negative
'continue since the bytesmessage typically wont used any further ',negative
'only set parent context parent messagesource parent messagesource registered already ',negative
'should skip connection the server ',negative
'find param aware ancestor ',negative
'nextpos candidateindex ',negative
'http header ',negative
'the dayofweek values javautilcalendar start with sunday but the cron pattern they start with subtract here ',negative
'configuration properties ',negative
'stompencoder isnt involved ',negative
'number times repeat count evaluations for averaging ',negative
'relative the persistence unit root according the jpa spec ',negative
'register custom methodresolver ',negative
'look lot items ',negative
'hessian call for some reason not handled hessianservlet ',negative
'constructor ',negative
'stringabc integerclass ',negative
'save previous status values for reexposure the end this tag ',negative
'spr ',negative
'set rollbackonly case vavr failure matching our rollback rules ',negative
'make resolvable dependencies resourceloader available here well ',negative
'core methods used and sqlquerysqlupdate ',negative
'not require transactional test methods public ',negative
'first and last need conversion ',negative
'spr classes ',negative
'leading whitespace control characters ',negative
'check position for final false ',negative
'spr ',negative
'send more data illegally ',negative
'only increment when creating the actual target not the proxy ',negative
'use msgnewbuilder construct ',negative
'now the expression has cached that throwexceptionint the right thing call lets change bar placeofbirth which indicates the cached reference ',negative
'expect instantiation through nondefault constructor just sure that spring will fail tries instantiate and will subsequently delegate the fallback bean instance producer ',negative
'the target class null the method will unchanged ',negative
'shouldnt have changed value joinpoint ',negative
'was other ',negative
'add default constructor list optional constructors fallback ',negative
'configure transactional connection settings for quartz ',negative
'remove empty entries from the hierarchy map ',negative
'should not throw ',negative
'spr ',negative
'spr convention mapping mixed with alaisfor annotations locations doesnt apply because has alaisfor annotation ',negative
'underlying connection lazy init via drivermanager ',negative
'note the following multiline layout for enhanced code readability ',negative
'the advice declared last has higher precedence ',negative
'can skip creating methodinvocation just invoke the target directly note that the final invoker must invokerinterceptor know does nothing but reflective operation the target and hot swapping fancy proxying ',negative
'emfmcverify ',negative
'lifecycle implementation ',negative
'publisher implementation ',negative
'the following call enigma literally invokes the local enigma method not cglib proxied version since these methods are essentially factory bean methods ',negative
'iii ',negative
'typical classes ',negative
'were relying doondiscard base class ',negative
'check need box for the method reference ',negative
'could not possibly contain currency code try with locale and likely let fail parse ',negative
'the updated script surrounds the message quotes before returning ',negative
'the operand going read and then assigned dont want evaluate twice ',negative
'not the usual case simply forget about the type check ',negative
'havent yet been into second branch ',negative
'possibly drive prefix windows uppercased for proper duplicate detection ',negative
'perform tests with classvaluesasstring true ',negative
'even when triggered lifecycle interfaces like beanfactoryaware ',negative
'differing types number not yet supported ',negative
'custom argument resolvers and return value handlers ',negative
'spr ',negative
'',negative
'collect any explicit cacheputs ',negative
'passing intsubboolean call requires boxing conversion arguments zero and two todo checkmatchnew class integertype subclass booleantype new class integerclass superclass booleanclass ',negative
'candidate factorybean ahead with enhancement ',negative
'contextloader ',negative
'implementation applicationcontext interface ',negative
'cglib proxy ',negative
'assert thrown ',negative
'write mono possible optimization hint reactor netty channelsendoperator not necessary for mono ',negative
'only register config value editors explicitly requested ',negative
'register default environment beans ',negative
'well known variables currently active context object ',negative
'generated the protocol buffer compiler not edit source sampleproto ',negative
'down the annotation hierarchy ',negative
'amc start ',negative
'allow for multiple close calls ',negative
'keep cglib happy ',negative
'gson tojson with type argument will exclusively use that given type ignoring the actual type the object which might more specific subclass the specified type which includes additional fields consequence were only passing parameterized type declarations which might contain extra generics that the object instance doesnt retain ',negative
'spr ',negative
'couldnt identify more precisely ',negative
'prepend container prefix not already specified and other scheme given ',negative
'the output the accessor primitive but from the block above might null have common stack element type skipifnull target necessary box the primitive ',negative
'its empty enum identifier reset the enum value null ',negative
'publishert methods were the publisher the writesubscriber ',negative
'determine autowire mode ',negative
'lets try nio file system providers via pathsgeturi ',negative
'need the real target too not just the proxy ',negative
'proceed with actual listener initialization ',negative
'hibernate manually enforce connection release mode afterstatement the jta default ',negative
'implementation hooks and helper methods ',negative
'this code block checks whether the left right operand null and handles ',negative
'destroy the corresponding disposablebean instance ',negative
'important this must the last part the classfile size computation because the previous ',negative
'explicit reference equality added here just case arraysequals does not have one ',negative
'correctly returns false since jmxutils wont navigate the extended interface ',negative
'rxjava single ',negative
'the bytecode offset the first explicit frame not offsetdelta but only offsetdelta setting the implicit frame offset allows use the ',negative
'necessary for older oracle drivers particular when running against oracle database should also work fine against other driversdatabases since uses standard jdbc api ',negative
'mark this bean currently creation even just partially ',negative
'always load via without hot detection template changes ',negative
'thisbeanorname must string representing the bean name thisresolvedbean null ',negative
'efficiently check whether bean definition exists this factory ',negative
'initialize loadtimeweaveraware beans early allow for registering their transformers early ',negative
'helper methods used the operations above ',negative
'thread context class loader use class loader this class ',negative
'spr ',negative
'management transaction synchronizations ',negative
'utf ',negative
'now add attribute and try again ',negative
'important not pass full property name here property editors must not kick for map keys but rather only for map values ',negative
'spr ',negative
'ignore the output ',negative
'variables and functions ',negative
'new object requested none exists under the current ',negative
'remove leakawaredatabuffer wrapper delegate can find native buffers ',negative
'empty file directory not considered readable ',negative
'register component for the surrounding jmsannotationdriven element ',negative
'use logj directly including location awareness support ',negative
'will come into play ',negative
'spr ',negative
'first child ',negative
'try hibernate validator method ',negative
'flip the default implementation from instead delegating sync call async shared with nonblocking resolvers actual resolution below still sync ',negative
'handle jpa unwrap method could proxy match ',negative
'let throw raw the type the exception the throws clause the method ',negative
'static expansion helpers ',negative
'try find cached factory for locale ',negative
'hits joinpoint ',negative
'wrap the factory implementing all its interfaces this allows interception createentitymanager methods return applicationmanaged entitymanager proxy that automatically joins existing transactions ',negative
'extends ',negative
'fallback ',negative
'sybase internal error sybase unexpected error communication failure ',negative
'otherwise ignore new imported config class existing nonimported class overrides ',negative
'retrieval bean instances ',negative
'autowired ',negative
'call aftercompletion with the appropriate status indication ',negative
'ignore when transformerfactory implementation available ',negative
'possibly bean constraint with property path retrieve the actual property value however explicitly avoid this for address style paths that cant handle ',negative
'literal integerliteral boolliteral stringliteral realliteral dqstringliteral ',negative
'single string methods ',negative
'else attempt detect defaults ',negative
'only actually register there are destinations specified otherwise messagemapping just being used metaannotation marker ',negative
'process captures spr ',negative
'check all bean definitions ',negative
'check repackaging needed ',negative
'check whether aspect enabled cope with cases where the pulled automatically ',negative
'the listener successfully published the event ',negative
'check result state might indicate throwable rethrow ',negative
'spr ',negative
'now cause throw exception ',negative
'steps the binding algorithm ',negative
'shut down the invokers ',negative
'build default typeconverter registering custom editors ',negative
'explicitly remove instance from singleton cache might have been put there eagerly the creation process allow for circular reference resolution also remove any beans that received temporary reference the bean ',negative
'implementation javautilmap ',negative
'assert the method name used ',negative
'first invoke the userspecific exceptionlistener any ',negative
'crossserver session lookup same user connected multiple servers ',negative
'validate column count ',negative
'this next code only generated because the registered editor using the registered type the editor guess for the content type the collection ',negative
'initialize message source for this context ',negative
'typereference ',negative
'failed more than once row startup wait before first recovery attempt ',negative
'',negative
'package the remaining arguments into the array ',negative
'this better match ',negative
'didnt get removed ',negative
'should never happen ',negative
'are only validating the request the response mocked out van beethoven ',negative
'spr ',negative
'hit sentinel end value will take the end ',negative
'navigationhandler specified through constructor argument call original handler marking the end this chain ',negative
'publish the context servlet context attribute ',negative
'filter proxy well have resort lazy initialization ',negative
'delegate webcontentgenerator for checking and preparing ',negative
'fastforward minutes ',negative
'all literals can this straight away ',negative
'jdk invoking getannotation bridge method actually finds annotation its bridged method however the eclipse compiler will not support this until eclipse thus effectively ignore the following assertion the test currently executing within the eclipse ide ',negative
'transport methods ',negative
'safari needs least bytes parse the website ',negative
'replyto queried when response being created ',negative
'nothing ',negative
'wrapped hibernate with the constraint violation cause ',negative
'not valid value ',negative
'can use advised and proxyfactory interchangeably ',negative
'cache hit all caching disabled ',negative
'always accept such event when the type unknown ',negative
'ignore simply doesnt match ',negative
'spr ',negative
'corresponding sql types for jsr jodatime types left ',negative
'visit the fields and methods ',negative
'skip flights ',negative
'attrfoo should overridden concrete subclass ',negative
'try variable resolution against target type ',negative
'args delegate standard getbean method ',negative
'trigger commit here let exceptions propagate the caller ',negative
'give other interceptors chance handle the error ',negative
'the return value the new value not the original value ',negative
'type not public but method ',negative
'custom arguments ',negative
'number evaluations that are timed one run ',negative
'cache forever prefer locale cache over repeated getbundle calls ',negative
'implementation disposablebean interface ',negative
'here not extract the labels corresponding the attribute content this would require full parsing the attribute which would need repeated when parsing the bytecode instructions see below instead the content the attribute read one type annotation time after type annotation has been visited the next type annotation read and the labels contains are also extracted one annotation time this assumes that type annotations are ordered increasing bytecode offset ',negative
'destination argument being null for producer ',negative
'',negative
'dont use the supplied testclass instead ensure that are building the mcc for the actual test class that declared the configuration for the current level the context hierarchy ',negative
'form passed the method ',negative
'instantiate all remaining nonlazyinit singletons ',negative
'restore reflective handles which are unfortunately not serializable ',negative
'force use classgetclassloader ',negative
'when ',negative
'starts with reference prefix ',negative
'should usually the case for traditional jar files ',negative
'invoke the handler method with appropriate arguments ',negative
'unaryexpression plus minus bang inc dec unaryexpression primaryexpression ',negative
'either targetclass targetobject specified ',negative
'yaml can have numbers keys ',negative
'request retrieves and invalidates ',negative
'startkey the level which begin clearing the cache ',negative
'create andor resize the output local variables array necessary ',negative
'use the cci execute method with output record parameter ',negative
'the parent bean autowiring ',negative
'standard jca apparently not supported ',negative
'unknown number subtype best guess double decrement ',negative
'case optional collectionmap silently ignore nonunique case possibly was meant empty collection multiple regular beans before particular when didnt even look for collection beans ',negative
'bean name resolved handler ',negative
'custom request method ',negative
'use same entitymanager for further jpa operations within the transaction threadbound object will get removed synchronization transaction completion ',negative
'handle radix specifier present ',negative
'construct using ',negative
'register jobdetails ',negative
'passing string call string exact match ',negative
'get the listener from the map value ',negative
'the first time searching dont care about for this test try with localeus ',negative
'invalid scoped proxy arrangement lets ignore ',negative
'context instance was injected construction time use ',negative
'inner cast required eclipse ide ',negative
'tdata were null wed know wasnt the textual form was the symbol form ',negative
'spr ',negative
'second request same session ',negative
'gzip response found need unzip ',negative
'manually trigger exception with the above bad messagelistener ',negative
'not sure can get here because opminus ',negative
'write the bootstrap method the bootstrapmethods table this necessary able compare with existing ones and will reverted below there already similar ',negative
'matches the getage method any class ',negative
'there more data must start with the separator ',negative
'not using parsemimetype avoid static init cost ',negative
'will jndi lookup get home but wont call create could actually try figure out interface from create ',negative
'copy and reset the nextattribute field that can also used methodwriter ',negative
'whose size depends its pathlength field ',negative
'not serializable servlet containers usually automatically unbind the attribute this case ',negative
'opdec ',negative
'were looking for regular reference but were factory bean that has decorated bean definition the target bean should the same type ',negative
'now populate the database ',negative
'prepend with slash not already present ',negative
'key should coerced string representation ',negative
'interfaces ',negative
'really want return the proxy ',negative
'method level ',negative
'return transactional connection any ',negative
'specific ',negative
'return the start offset the rest the typeannotation structure ',negative
'httpservletresponse interface ',negative
'note order not inherited ',negative
'freemarker will only accept known keys its setsettings and ',negative
'',negative
'spr ',negative
'are there any file prefixsuffix things consider ',negative
'could read these from files ',negative
'about the count ',negative
'',negative
'ask the expression ast generate the body the method ',negative
'implementation methods ',negative
'position the old string ',negative
'process reexecution outside the synchronized block ',negative
'set statement separator double newline that not considered statement separator within the source code the aliased function reverse ',negative
'default instance reused across requests unless one configured explicitly ',negative
'json view specified ',negative
'register bean disposable ',negative
'static getter ',negative
'remove all remaining references any removed contexts from the ',negative
'rethrow jmsexception indicate infrastructure problem that may have trigger recovery ',negative
'spr and spr ',negative
'spr ',negative
'asserts that the set contract not violated during merge operation ',negative
'get the unmerged list attributes for the target annotation ',negative
'',negative
'already filtered ',negative
'write content type and also length determined via byte array ',negative
'subscriber methods were the subscriber the write function ',negative
'the form assignable extends number ',negative
'taskexecutor indicated preference for shortlived tasks according javadoc well use message per task this case unless the user specified custom value ',negative
'spr ',negative
'path element ',negative
'proxytargetclass default true dont need set explicitly here ',negative
'set the escalation list ',negative
'disallowing access systemgetenv means that our will come into play ',negative
'candidate class importselector delegate determine imports ',negative
'second try the transaction attribute the target class ',negative
'groovy script probably creating instance lets execute ',negative
'report first connect the listenablefuture ',negative
'this should happen only once for the implicit first frame which explicitly visited classreader the expandasminsns option used and cant set expandasminsns not used ',negative
'ignored ',negative
'verify that can call method with args that are subtypes the target method arg types ',negative
'skip property population phase for null instance ',negative
'removes counting before advisor ',negative
'assertequalsnull ',negative
'hessian check another layer ',negative
'invariant currentoffset the offset attributeinfo structure read the attributelength field bytes after the start the attributeinfo and skip this many bytes plus for the attributenameindex and attributelength fields yielding the total size the attributeinfo structure ',negative
'load reference definition file ',negative
'check name asis ',negative
'handler method lookup ',negative
'find the root ',negative
'more events with what currently has been fed the reader ',negative
'dynamic sql error cardinality violation syntax error direct sql syntax error dynamic sql general sql syntax error oracle unknown identifier ',negative
'these test classes simulate pattern publicprivate classes seen spring security ',negative
'just want ensure that doesnt bomb ',negative
'does not handle ',negative
'register aliases for bean name any ',negative
'head ',negative
'spr ',negative
'the following cast required jdk ',negative
'spr ',negative
'perform tests with classvaluesasstring false the default ',negative
'implementation initializingbean interface ',negative
'need visit all indexed annotations ',negative
'visit the annotationdefault attribute ',negative
'case elementvalue with enumconstvalue field see ',negative
'now unwrap scoped proxy ',negative
'first invocation should succeed ',negative
'not useful expression but tests nested expression syntax that clashes with template prefixsuffix ',negative
'',negative
'spr ',negative
'never null ',negative
'choose aop interceptor used for aop calls ',negative
'private property will accessed through getter ',negative
'clear ',negative
'stack leftorright ',negative
'common cache initialization delegates for subclasses ',negative
'does not throw any ioexception ',negative
'determine handler adapter for the current request ',negative
'skip call converters they may update the body ',negative
'must fail annotation interfaces should not considered match ',negative
'process any collected put requests either from cacheput cacheable miss ',negative
'before commit not invoked ',negative
'path intentionally omitted ',negative
'invalid acceptlanguage header treat empty for matching purposes ',negative
'here rightnull leftunknown ',negative
'keep the fullframe type ',negative
'direct url lookup ',negative
'does not currently traverse interface hierarchies ',negative
'construction jsr targets are stored the second outgoing edge basic blocks that ends with jsr instruction see link ',negative
'initial request thread ',negative
'spr ',negative
'bigdecimal ',negative
'doondiscard operators used not cache ',negative
'inline map creation ',negative
'ejb api not present simply ignore ',negative
'wrap the response ignore further header changes ',negative
'usenewconnection true then obtain nonmanaged connection our modifications are handled separate transaction false then use the current transactions connection relying the use nontransactional storage engine like myisam for the incrementer table also use straight jdbc code because need make sure that the insert and select are performed the same connection otherwise cant sure that lastinsertid returned the correct value ',negative
'forwarderrorasync minimal message there should enough context already ',negative
'resolve with acceptencoding ',negative
'testbeanclass ',negative
'use defaults transaction definition given ',negative
'equals ',negative
'check that the hibernate flushmode type not jpas ',negative
'its interceptor just invoke the pointcut will have been evaluated statically before this object was constructed ',negative
'static method bfpp does not interfere with lifecycle autowiring succeeds ',negative
'check can add new advisor the target ',negative
'see spr serialized events result null source ',negative
'see bigdecimal javadoc for details ',negative
'productexpression powerexpr star div mod powerexpr ',negative
'try build the most specific interface possible for inherited methods considered for subinterface matches well particular for proxy classes note aspectj only going take into account ',negative
'counter suffix for generated classes within this spelcompiler instance ',negative
'',negative
'when container type omitted and therefore inferred from repeatable ',negative
'test global property should null ',negative
'then skip the and elementvaluepairs fields reading them ',negative
'well least tried ',negative
'copy methods for javaioreader javaiowriter ',negative
'ignore can only happen case jta transaction ',negative
'bindingresult available request attribute probably forwarded directly form view lets the best can extract plain target appropriate ',negative
'use loadfactor disable resize ',negative
'ignore reinitialization same context passed ',negative
'definition localkind type designates the concrete type local variable the beginning the basic block corresponding this frame which known when this method called but was not when the abstract type was computed ',negative
'isopen check used below find out about ',negative
'happens after deserialization during destruction ',negative
'close and stop the listeners ',negative
'neither transaction nor synchronization active ',negative
'both the upper and lower bounds the righthand side must completely enclosed the upper and lower bounds the left hand side ',negative
'this should always true since were only calling this when active ',negative
